,cstName,Email,City,Zip,PhoneNumber,Country,CreateDate,TransactionID,PurchaseDate,Name,Region,ZipCode_2,StreetAddress,ItemName,Description,Category,ItemPrice,LineItemAmount,Quantity,Amount,CCNumber,CardSecurityCode
424,Lori Gill,Lori-Gill852@comcast.net,Oregon City,50535,5095780443,China,2019-02-23,72486-5990,2019-12-27,Authentic Shoppe,OR,96587,5111 Penatibus Rd,fruit,farmers market generic,food,5.0,15.0,3.0,59.1,4600642040163364,407
911,William Flores,WilliamYFlores817@msn.com,Seattle,34039,5096960490,Slovenia,2018-07-30,36586-4003,2019-01-28,West Port Goods,WA,98788,"8052 Adipiscing, Street",sandwich,premade,food,12.44,24.88,2.0,176.38,4822340311728157,837
534,Frances Yu,FranceslYu578@yahoo.com,Oregon City,39719,5104363418,Australia,2019-07-27,31659-2380,2020-06-11,Wholesome,California,98182,4942 Ac Rd.,peace lily,white pedal,plants,100.0,500.0,5.0,10556.3,4638240346170363,580
719,Beth Dickerson,Beth-Dickerson951@comcast.net,San Diego,48173,2096211375,Turkey,2020-05-23,34165-6940,2019-07-19,Wholesome,California,98182,4942 Ac Rd.,cereal,12 oz bag,food,4.0,16.0,4.0,40016.0,4451328640806472,357
416,Lori Gill,Lori-Gill852@comcast.net,Oregon City,50535,5095780443,China,2019-02-23,88057-3963,2019-06-10,West Port Goods,WA,98788,"8052 Adipiscing, Street",green algae,,plants,2.0,2.0,1.0,18.7,4865383354547624,217
293,Therese Lankford,Therese_Lankford996@gmail.com,Spokane,66222,4581754143,Thailand,2017-07-22,73497-6907,2019-08-23,Not Just Groceries,CA,97888,"1437 Sed, Av.",seeds,misc plant seeds,plants,15.0,75.0,5.0,81.0,5557662104004488,947
1070,Melissa Burgos,Melissa-Burgos386@comcast.net,Tacoma,41877,5411269040,Bahamas,2020-01-10,51267-8866,2019-07-21,West Port Goods,WA,98788,"8052 Adipiscing, Street",coke,16 oz,beverage,2.95,14.75,5.0,79.63,5425015551043448,411
385,James Ramey,James-Ramey781@yahoo.com,Eugene,86498,3605988533,Bhutan,2019-06-20,99241-4629,2019-02-22,Not Just Groceries,CA,97888,"1437 Sed, Av.",water,4 oz,beverage,0.95,3.8,4.0,81.05999999999997,4552651388451787,350
561,Mellisa Fischer,MellisaRFischer206@gmail.com,Los Angeles,64421,4253301279,Austria,2020-06-22,81206-9358,2020-02-26,The Full Cart,Oregon,93455,5342 Ligula. Ave,sandwich,premade,food,12.44,37.32,3.0,40061.57,5847580064116314,665
1079,Nancy Colon,NancyColon980@aol.com,San Francisco,88212,4258071489,Holy See (Vatican City State),2018-06-21,94571-7565,2019-07-15,Healthy Treats,WA,91222,8390 Integer St,green algae,,plants,2.0,10.0,5.0,23.8,4157130864348404,679
699,Ronald Tanner,Ronald_Tanner756@hotmail.com,Seattle,46752,3608587387,"Virgin Islands, British",2017-09-25,37106-8547,2020-03-13,West Port Goods,WA,98788,"8052 Adipiscing, Street",chips,generic chip,food,2.0,10.0,5.0,16.25,4452884705070458,681
674,Darlene Olsen,Darlene-Olsen273@gmail.com,Olympia,31192,5032938770,Burundi,2018-10-24,61923-5378,2020-03-28,Wholesome,California,98182,4942 Ac Rd.,cereal,12 oz bag,food,4.0,20.0,5.0,86.5,5105608823337137,551
90,Mark Ward,MarktWard616@yahoo.com,Sacramento,73646,2067260077,French Southern Territories,2019-08-02,91860-9404,2020-04-09,Authentic Shoppe,OR,96587,5111 Penatibus Rd,chips,generic chip,food,2.0,8.0,4.0,16.0,5526111365577105,882
294,Therese Lankford,Therese_Lankford996@gmail.com,Spokane,66222,4581754143,Thailand,2017-07-22,73497-6907,2019-08-23,Not Just Groceries,CA,97888,"1437 Sed, Av.",green algae,,plants,2.0,6.0,3.0,81.0,5557662104004488,947
17,James Cooper,James-Cooper869@comcast.net,Salem,78074,2093322873,Canada,2017-11-11,62475-4262,2019-06-10,Not Just Groceries,CA,97888,"1437 Sed, Av.",water,24 oz,beverage,2.95,5.9,2.0,80.16,5236572667855303,749
922,Charles Blanchard,Charles-Blanchard187@comcast.net,Bend,47786,7073058744,"Iran, Islamic Republic of",2019-05-10,88842-9420,2019-12-30,The Corner Store,Washington,98000,8516 Amet St.,cactus,a beautiful prickly,plants,10.0,30.0,3.0,87.8,4745486575723520,587
1152,Christopher Erickson,ChristopherErickson292@yahoo.com,Oregon City,79684,7141178894,Spain,2020-02-09,70787-2809,2020-02-20,West Port Goods,WA,98788,"8052 Adipiscing, Street",coke,12 oz,beverage,1.25,5.0,4.0,50113.0,4611213787368514,581
482,Josefine Mathews,Josefine-Mathews812@yahoo.com,Bellingham,38477,2065294829,"Iran, Islamic Republic of",2018-10-28,86158-9083,2020-08-14,The Corner Store,Washington,98000,8516 Amet St.,fruit,farmers market generic,food,5.0,25.0,5.0,73.03,5342234032681703,932
160,Michael Shepherd,MichaelyShepherd55@msn.com,Sacramento,65403,4587816189,Andorra,2020-08-02,66663-9400,2019-10-07,Authentic Shoppe,OR,96587,5111 Penatibus Rd,tissues,,toiletries,5.0,20.0,4.0,85.0,4647271306337230,389
695,Ronald Tanner,Ronald_Tanner756@hotmail.com,Seattle,46752,3608587387,"Virgin Islands, British",2017-09-25,11431-9866,2019-06-09,West Port Goods,WA,98788,"8052 Adipiscing, Street",coke,16 oz,beverage,2.95,11.8,4.0,68.75,5262662004665268,990
682,Scott March,ScottEMarch564@comcast.net,Seattle,47525,2138216778,Benin,2020-05-28,97465-6929,2019-03-09,Healthy Treats,WA,91222,8390 Integer St,tissues,,toiletries,5.0,10.0,2.0,188.9,4078057347010788,831
322,Linda Matin,LindaMatin615@msn.com,Los Angeles,68016,2065577867,Romania,2020-04-23,76939-7344,2020-05-05,The Corner Store,Washington,98000,8516 Amet St.,tooth paste,,toiletries,2.3,9.2,4.0,21.2,4032251263488100,694
124,Scott March,ScottEMarch564@comcast.net,Seattle,47525,2138216778,Benin,2020-05-28,23947-8663,2019-05-11,Authentic Shoppe,OR,96587,5111 Penatibus Rd,fruit,farmers market generic,food,5.0,15.0,3.0,120.4,5411714633226666,596
878,Ronald Moody,Ronald-Moody543@aol.com,Eugene,46230,2069087778,Guatemala,2017-12-27,97439-1332,2020-02-22,Yummy Store,WA,98001,9128 Egestas Avenue,coke,24 oz,beverage,4.5,13.5,3.0,22.3,4118637620104167,265
1168,Vivian Bredesen,VivianNBredesen225@msn.com,Los Angeles,35196,5107398767,Uzbekistan,2017-06-06,27393-7405,2020-07-30,The Corner Store,Washington,98000,8516 Amet St.,cactus,a beautiful prickly,plants,10.0,20.0,2.0,78.0,4508282337675157,280
451,Mary Wright,MaryWright964@yahoo.com,Eugene,47296,2134498897,Cuba,2017-02-01,93245-7150,2019-08-05,The Corner Store,Washington,98000,8516 Amet St.,chips,generic chip,food,2.0,6.0,3.0,41.8,5033657337034040,540
577,Victor Lockhart,VictorLockhart171@hotmail.com,Sacramento,33066,4253105796,Bouvet Island,2017-02-10,69919-5563,2020-03-03,Healthy Treats,WA,91222,8390 Integer St,coke,12 oz,beverage,1.25,5.0,4.0,523.75,5822285332876822,482
968,Jennifer Rodriguez,JenniferhRodriguez773@yahoo.com,Medford,60665,2067233744,Martinique,2017-05-04,33115-3416,2019-04-06,West Port Goods,WA,98788,"8052 Adipiscing, Street",bread,single sliced,food,4.0,4.0,1.0,40092.25,4324141235836712,797
239,Ruby Schultz,RubyQSchultz406@gmail.com,Bellevue,52412,5097579626,Faroe Islands,2018-08-11,92201-2877,2020-02-06,The Corner Store,Washington,98000,8516 Amet St.,cactus,a beautiful prickly,plants,10.0,50.0,5.0,66.8,4678215467878013,646
371,James Cooper,James-Cooper869@comcast.net,Salem,78074,2093322873,Canada,2017-11-11,43023-6473,2020-04-19,Wholesome,California,98182,4942 Ac Rd.,bread,single sliced,food,4.0,16.0,4.0,82.2,5860825026442886,602
730,Steven Martin,Steven-Martin131@comcast.net,Oregon City,36750,5096497502,Hong Kong,2018-01-16,24951-2473,2019-12-18,Authentic Shoppe,OR,96587,5111 Penatibus Rd,tissues,,toiletries,5.0,5.0,1.0,30034.75,4061843686603158,997
965,Andrew Crider,Andrew-Crider301@hotmail.com,Portland,99599,3601963241,Réunion,2018-11-26,12961-3126,2019-12-15,West Port Goods,WA,98788,"8052 Adipiscing, Street",water,4 oz,beverage,0.95,2.85,3.0,64.85,5200048211365452,505
498,Ann Child,Ann-Child12@gmail.com,Seattle,82094,7073911159,Ukraine,2017-03-19,54261-9702,2020-02-08,West Port Goods,WA,98788,"8052 Adipiscing, Street",chips,generic chip,food,2.0,4.0,2.0,30116.95,5534845351005165,599
1172,Vivian Bredesen,VivianNBredesen225@msn.com,Los Angeles,35196,5107398767,Uzbekistan,2017-06-06,64203-3073,2019-02-01,Yummy Store,WA,98001,9128 Egestas Avenue,coke,24 oz,beverage,4.5,9.0,2.0,159.0,5578310217237276,394
1034,Erica Johnson,Erica_Johnson544@msn.com,Eugene,44149,2532631717,"Congo, The Democratic Republic of the",2019-11-04,42505-7995,2020-03-21,Yummy Store,WA,98001,9128 Egestas Avenue,coke,12 oz,beverage,1.25,1.25,1.0,45.75,5251368573325432,907
305,Sandra Jackson,SandraJackson94@aol.com,Tacoma,49329,3609172098,Bangladesh,2017-07-19,32510-8805,2020-03-07,The Full Cart,Oregon,93455,5342 Ligula. Ave,green algae,,plants,2.0,6.0,3.0,60.3,5411540572446556,653
546,Hilda Naegeli,Hilda_Naegeli140@yahoo.com,Spokane,64604,2534924147,Cambodia,2018-12-26,23725-6333,2020-07-22,Wholesome,California,98182,4942 Ac Rd.,coke,16 oz,beverage,2.95,5.9,2.0,26.9,4723385252107713,495
285,Nancy Colon,NancyColon980@aol.com,San Francisco,88212,4258071489,Holy See (Vatican City State),2018-06-21,21107-6895,2020-02-24,The Full Cart,Oregon,93455,5342 Ligula. Ave,coke,24 oz,beverage,4.5,13.5,3.0,10062.77,4286472251182304,877
696,Ronald Tanner,Ronald_Tanner756@hotmail.com,Seattle,46752,3608587387,"Virgin Islands, British",2017-09-25,11431-9866,2019-06-09,West Port Goods,WA,98788,"8052 Adipiscing, Street",cereal,12 oz bag,food,4.0,4.0,1.0,68.75,5262662004665268,990
925,Charles Blanchard,Charles-Blanchard187@comcast.net,Bend,47786,7073058744,"Iran, Islamic Republic of",2019-05-10,98763-3665,2020-06-26,West Port Goods,WA,98788,"8052 Adipiscing, Street",peace lily,white pedal,plants,100.0,500.0,5.0,763.66,5525446163886557,513
237,Ruby Schultz,RubyQSchultz406@gmail.com,Bellevue,52412,5097579626,Faroe Islands,2018-08-11,92201-2877,2020-02-06,The Corner Store,Washington,98000,8516 Amet St.,coke,12 oz,beverage,1.25,5.0,4.0,66.8,4678215467878013,646
1115,Robert Dennis,RobertvDennis964@msn.com,Oregon City,99862,2537000464,Pitcairn,2018-05-07,11836-5303,2019-08-17,Yummy Store,WA,98001,9128 Egestas Avenue,green algae,,plants,2.0,8.0,4.0,40028.0,5084041037565322,686
454,Mary Wright,MaryWright964@yahoo.com,Eugene,47296,2134498897,Cuba,2017-02-01,93245-7150,2019-08-05,The Corner Store,Washington,98000,8516 Amet St.,tissues,,toiletries,5.0,20.0,4.0,41.8,5033657337034040,540
95,Matthew Cain,Matthew_Cain64@yahoo.com,Eugene,46045,3605572675,Nigeria,2020-08-27,37477-6986,2020-05-10,Healthy Treats,WA,91222,8390 Integer St,peace lily,white pedal,plants,100.0,300.0,3.0,378.0,5073563782675543,801
525,Joyce Carlyle,JoyceCarlyle466@comcast.net,Bend,78679,5104469485,Switzerland,2020-08-04,24548-7432,2019-04-11,The Corner Store,Washington,98000,8516 Amet St.,candy,variety pack,food,3.25,3.25,1.0,60.0,5168844464604142,567
716,Lester Buford,Lester-Buford629@aol.com,Portland,95853,3605095034,Croatia,2017-07-22,89718-7263,2020-08-09,The Corner Store,Washington,98000,8516 Amet St.,bread,single sliced,food,4.0,8.0,2.0,319.0,4812876461827570,484
357,Harry Hayward,Harry-Hayward322@hotmail.com,Olympia,66396,2067812937,Oman,2018-04-22,49649-6640,2020-02-16,The Corner Store,Washington,98000,8516 Amet St.,water,24 oz,beverage,2.95,11.8,4.0,73.09,4654735431318632,404
1029,Robert Payne,RobertPayne803@msn.com,Bend,42939,2131409181,Saint Barthélemy,2019-06-29,66367-2577,2019-03-12,Not Just Groceries,CA,97888,"1437 Sed, Av.",peace lily,white pedal,plants,100.0,100.0,1.0,612.0,4436053627348134,123
530,Frances Yu,FranceslYu578@yahoo.com,Oregon City,39719,5104363418,Australia,2019-07-27,65388-6911,2019-03-20,The Corner Store,Washington,98000,8516 Amet St.,fruit,farmers market generic,food,5.0,10.0,2.0,16.9,5485674844608583,917
508,Ann Child,Ann-Child12@gmail.com,Seattle,82094,7073911159,Ukraine,2017-03-19,77073-1280,2019-09-10,West Port Goods,WA,98788,"8052 Adipiscing, Street",green algae,,plants,2.0,6.0,3.0,85.95,4530670315372121,759
34,Gerald Ballew,Gerald_Ballew712@comcast.net,San Jose,77409,5109964828,Sierra Leone,2017-08-21,82985-3183,2020-08-24,West Port Goods,WA,98788,"8052 Adipiscing, Street",cereal,12 oz bag,food,4.0,8.0,2.0,9.9,4263438084358004,370
139,Ronald Tanner,Ronald_Tanner756@hotmail.com,Seattle,46752,3608587387,"Virgin Islands, British",2017-09-25,47045-8729,2020-06-25,The Corner Store,Washington,98000,8516 Amet St.,cereal,12 oz bag,food,4.0,4.0,1.0,20.0,5886237006463066,568
442,Greg Johnson,Greg-Johnson571@hotmail.com,Los Angeles,61959,2539633800,Guinea,2019-04-14,55794-6216,2019-05-22,Wholesome,California,98182,4942 Ac Rd.,fruit,farmers market generic,food,5.0,5.0,1.0,36.15,5441254435321855,648
788,Ruth Cocklin,Ruth_Cocklin150@aol.com,Seattle,67641,4586060043,Andorra,2019-12-18,44838-5644,2020-05-18,Not Just Groceries,CA,97888,"1437 Sed, Av.",peace lily,white pedal,plants,100.0,300.0,3.0,381.8,5151526241863156,179
282,Nancy Colon,NancyColon980@aol.com,San Francisco,88212,4258071489,Holy See (Vatican City State),2018-06-21,21107-6895,2020-02-24,The Full Cart,Oregon,93455,5342 Ligula. Ave,,,toiletries,10000.0,10000.0,1.0,10062.77,4286472251182304,877
398,Rosa Overman,Rosa-Overman232@hotmail.com,Bellevue,37952,5093452620,Maldives,2019-04-28,24035-2958,2020-05-01,Authentic Shoppe,OR,96587,5111 Penatibus Rd,green algae,,plants,2.0,2.0,1.0,2.0,4280143712860464,676
317,Vivian Bredesen,VivianNBredesen225@msn.com,Los Angeles,35196,5107398767,Uzbekistan,2017-06-06,52076-3640,2020-06-17,Not Just Groceries,CA,97888,"1437 Sed, Av.",coke,12 oz,beverage,1.25,6.25,5.0,55.48,4186221135512311,445
1166,Jayne Eliott,JayneEliott202@hotmail.com,Bellingham,46646,2135916711,Singapore,2017-02-12,39552-1762,2020-08-07,Not Just Groceries,CA,97888,"1437 Sed, Av.",water,4 oz,beverage,0.95,1.9,2.0,22.55,5021041467447807,743
774,Michael Shepherd,MichaelyShepherd55@msn.com,Sacramento,65403,4587816189,Andorra,2020-08-02,21912-8981,2019-02-20,Not Just Groceries,CA,97888,"1437 Sed, Av.",green algae,,plants,2.0,6.0,3.0,29.75,5380741443380465,119
982,Monique Cecot,MoniqueCecot552@hotmail.com,Spokane,94868,4256776005,Thailand,2019-01-27,28375-7055,2019-08-06,Authentic Shoppe,OR,96587,5111 Penatibus Rd,bread,single sliced,food,4.0,20.0,5.0,10048.85,5064141827811622,660
341,Roberto Cordero,Roberto_Cordero935@aol.com,Medford,55098,2097116267,"Congo, The Democratic Republic of the",2020-04-23,20026-6162,2020-02-09,Yummy Store,WA,98001,9128 Egestas Avenue,coke,12 oz,beverage,1.25,6.25,5.0,93.45,4180824573548143,601
712,Lester Buford,Lester-Buford629@aol.com,Portland,95853,3605095034,Croatia,2017-07-22,10153-1766,2020-03-11,Authentic Shoppe,OR,96587,5111 Penatibus Rd,cereal,12 oz bag,food,4.0,16.0,4.0,54.35,5655461141264212,507
1100,Therese Lankford,Therese_Lankford996@gmail.com,Spokane,66222,4581754143,Thailand,2017-07-22,91893-9200,2019-06-17,Yummy Store,WA,98001,9128 Egestas Avenue,fern,has leaves,plants,25.0,75.0,3.0,147.8,5637501380685073,326
887,Gerald Buchanan,Gerald_Buchanan951@comcast.net,Bellingham,81386,7145123799,Belgium,2017-10-09,79595-5748,2020-05-17,Healthy Treats,WA,91222,8390 Integer St,coke,16 oz,beverage,2.95,11.8,4.0,30089.1,5676543673524812,479
457,Mary Wright,MaryWright964@yahoo.com,Eugene,47296,2134498897,Cuba,2017-02-01,19202-2257,2019-03-22,The Full Cart,Oregon,93455,5342 Ligula. Ave,coke,24 oz,beverage,4.5,9.0,2.0,848.73,4803828212443701,369
425,Lori Gill,Lori-Gill852@comcast.net,Oregon City,50535,5095780443,China,2019-02-23,81862-4397,2020-04-14,Healthy Treats,WA,91222,8390 Integer St,candy,variety pack,food,3.25,13.0,4.0,537.85,5205888722606740,520
499,Ann Child,Ann-Child12@gmail.com,Seattle,82094,7073911159,Ukraine,2017-03-19,54261-9702,2020-02-08,West Port Goods,WA,98788,"8052 Adipiscing, Street",cactus,a beautiful prickly,plants,10.0,40.0,4.0,30116.95,5534845351005165,599
803,Laura Wright,Laura_Wright283@msn.com,San Diego,97256,5104632690,Austria,2019-04-18,55855-8893,2020-07-12,Healthy Treats,WA,91222,8390 Integer St,tooth paste,,toiletries,2.3,11.5,5.0,24.1,4034614502234374,621
825,Pauline Moran,Pauline-Moran27@comcast.net,Olympia,89780,5101025262,Bahamas,2017-05-15,87177-3463,2020-04-29,Authentic Shoppe,OR,96587,5111 Penatibus Rd,cereal,12 oz bag,food,4.0,20.0,5.0,10166.9,4261805324532151,255
578,Victor Lockhart,VictorLockhart171@hotmail.com,Sacramento,33066,4253105796,Bouvet Island,2017-02-10,69919-5563,2020-03-03,Healthy Treats,WA,91222,8390 Integer St,candy,variety pack,food,3.25,9.75,3.0,523.75,5822285332876822,482
670,Darlene Olsen,Darlene-Olsen273@gmail.com,Olympia,31192,5032938770,Burundi,2018-10-24,88978-8341,2019-11-28,Healthy Treats,WA,91222,8390 Integer St,sandwich,premade,food,12.44,49.76,4.0,98.56,5441111682488367,640
1142,Sandra Jackson,SandraJackson94@aol.com,Tacoma,49329,3609172098,Bangladesh,2017-07-19,82599-5007,2020-06-08,Healthy Treats,WA,91222,8390 Integer St,seeds,misc plant seeds,plants,15.0,45.0,3.0,66.55,5254681228403401,731
697,Ronald Tanner,Ronald_Tanner756@hotmail.com,Seattle,46752,3608587387,"Virgin Islands, British",2017-09-25,11431-9866,2019-06-09,West Port Goods,WA,98788,"8052 Adipiscing, Street",fruit,farmers market generic,food,5.0,25.0,5.0,68.75,5262662004665268,990
742,Diane Turner,DianeTurner328@msn.com,Sacramento,39536,2091374990,Guernsey,2019-12-15,15762-6883,2019-12-04,Healthy Treats,WA,91222,8390 Integer St,candy,variety pack,food,3.25,13.0,4.0,25.0,5532608436368728,812
624,Sharee Mcdaniel,Sharee-Mcdaniel368@aol.com,Bellingham,46937,7148599814,Pitcairn,2018-08-30,54238-5928,2019-04-15,Yummy Store,WA,98001,9128 Egestas Avenue,sandwich,premade,food,12.44,62.2,5.0,372.8,4432513686368620,305
39,Lise Holman,Lise-Holman14@aol.com,Oregon City,83716,4258179456,Georgia,2018-01-03,59869-1701,2019-07-14,Wholesome,California,98182,4942 Ac Rd.,candy,variety pack,food,3.25,13.0,4.0,45.0,5124630213440111,846
725,Steven Martin,Steven-Martin131@comcast.net,Oregon City,36750,5096497502,Hong Kong,2018-01-16,59515-5279,2019-10-26,Healthy Treats,WA,91222,8390 Integer St,tissues,,toiletries,5.0,10.0,2.0,10.95,5457088070840856,372
789,Ruth Cocklin,Ruth_Cocklin150@aol.com,Seattle,67641,4586060043,Andorra,2019-12-18,44838-5644,2020-05-18,Not Just Groceries,CA,97888,"1437 Sed, Av.",fern,has leaves,plants,25.0,50.0,2.0,381.8,5151526241863156,179
689,Linda Green,LindaZGreen451@msn.com,Medford,31030,2137110642,Liberia,2017-05-02,51771-1754,2019-05-28,The Corner Store,Washington,98000,8516 Amet St.,tooth paste,,toiletries,2.3,4.6,2.0,30079.6,4674233722574403,427
748,Diane Turner,DianeTurner328@msn.com,Sacramento,39536,2091374990,Guernsey,2019-12-15,10424-6732,2020-04-19,The Full Cart,Oregon,93455,5342 Ligula. Ave,candy,variety pack,food,3.25,9.75,3.0,314.6,5308440644263226,336
87,Victor Lockhart,VictorLockhart171@hotmail.com,Sacramento,33066,4253105796,Bouvet Island,2017-02-10,53483-2088,2019-05-14,Healthy Treats,WA,91222,8390 Integer St,,,toiletries,10000.0,30000.0,3.0,30008.0,4765067240284006,228
971,Jennifer Rodriguez,JenniferhRodriguez773@yahoo.com,Medford,60665,2067233744,Martinique,2017-05-04,33115-3416,2019-04-06,West Port Goods,WA,98788,"8052 Adipiscing, Street",coke,12 oz,beverage,1.25,6.25,5.0,40092.25,4324141235836712,797
951,Connie Kinder,ConnieKinder120@gmail.com,Bellevue,61376,7071128200,Mauritius,2020-02-28,85236-4257,2020-05-15,The Full Cart,Oregon,93455,5342 Ligula. Ave,coke,24 oz,beverage,4.5,22.5,5.0,103.55,5400126854518720,938
764,George Wilson,GeorgeWilson697@hotmail.com,Sacramento,74543,2066957028,Solomon Islands,2019-06-27,64953-6667,2019-11-15,Authentic Shoppe,OR,96587,5111 Penatibus Rd,coke,24 oz,beverage,4.5,9.0,2.0,70.0,5630805352470648,580
828,Pauline Moran,Pauline-Moran27@comcast.net,Olympia,89780,5101025262,Bahamas,2017-05-15,87177-3463,2020-04-29,Authentic Shoppe,OR,96587,5111 Penatibus Rd,chips,generic chip,food,2.0,10.0,5.0,10166.9,4261805324532151,255
288,Christine Kelley,Christine_Kelley894@gmail.com,Sacramento,91890,3606001876,Belarus,2018-01-19,18430-6236,2019-06-17,Healthy Treats,WA,91222,8390 Integer St,water,24 oz,beverage,2.95,8.850000000000003,3.0,100.47,4023701568630141,538
566,Mellisa Fischer,MellisaRFischer206@gmail.com,Los Angeles,64421,4253301279,Austria,2020-06-22,59903-4627,2020-02-10,Authentic Shoppe,OR,96587,5111 Penatibus Rd,water,6 oz,beverage,1.95,7.8,4.0,76.09,5423516386367176,501
1010,David Collins,DavidCollins783@comcast.net,Tacoma,86714,2535239932,Syrian Arab Republic,2018-06-09,31016-4518,2019-11-17,The Corner Store,Washington,98000,8516 Amet St.,tooth paste,,toiletries,2.3,4.6,2.0,69.45,4638175110858876,477
1151,Christopher Erickson,ChristopherErickson292@yahoo.com,Oregon City,79684,7141178894,Spain,2020-02-09,70787-2809,2020-02-20,West Port Goods,WA,98788,"8052 Adipiscing, Street",,,toiletries,10000.0,50000.0,5.0,50113.0,4611213787368514,581
113,Lindsey Romine,Lindsey_Romine668@comcast.net,Bellevue,45072,2067352345,Uruguay,2018-02-19,39181-5522,2020-06-12,Authentic Shoppe,OR,96587,5111 Penatibus Rd,coke,12 oz,beverage,1.25,6.25,5.0,20.99,5448852148370834,394
